company_name,db_listing_date,likely_reason
Jeena Sikho Lifecare Limited,2022-04-15,already listed but no name match found — check suffix/spelling
Krishna Defence and Allied Industries Limited,2022-04-06,already listed but no name match found — check suffix/spelling
Krishival Foods Limited (Empyrean Cashews),2022-03-31,already listed but no name match found — check suffix/spelling
KN Agri Resources Limited,2022-03-15,already listed but no name match found — check suffix/spelling
Swaraj Suiting Limited,2022-03-15,already listed but no name match found — check suffix/spelling
Dj Mediaprint & Logistics Limited,2022-01-15,already listed but no name match found — check suffix/spelling
AB Cotspin India Limited,2022-01-15,already listed but no name match found — check suffix/spelling
Euro Panel Products Limited,2021-12-24,already listed but no name match found — check suffix/spelling
Nupur Recyclers Limited,2021-12-15,already listed but no name match found — check suffix/spelling
Kotyark Industries Limited,2021-11-15,already listed but no name match found — check suffix/spelling
CWD Limited,2021-10-15,already listed but no name match found — check suffix/spelling
Shri Venkatesh Refineries Limited,2021-10-15,already listed but no name match found — check suffix/spelling
Markolines Traffic Controls Limited,2021-09-15,already listed but no name match found — check suffix/spelling
Naapbooks Limited,2021-09-15,already listed but no name match found — check suffix/spelling
DU Digital Technologies Limited,2021-08-15,already listed but no name match found — check suffix/spelling
Network People Services Technologies Limited,2021-08-15,already listed but no name match found — check suffix/spelling
Gretex Corporate Services Limited,2021-08-15,already listed but no name match found — check suffix/spelling
V-Marc India Limited,2021-04-15,already listed but no name match found — check suffix/spelling
EKI Energy Services Limited,2021-04-15,already listed but no name match found — check suffix/spelling
Knowledge Marine & Engineering Works Limited,2021-03-22,already listed but no name match found — check suffix/spelling
Rangoli Tradecomm Limited,2021-03-15,already listed but no name match found — check suffix/spelling
Pavna Industries Limited,2021-03-15,already listed but no name match found — check suffix/spelling
Bodhi Tree Multimedia Limited,2020-10-15,already listed but no name match found — check suffix/spelling
Sigma Solve Limited,2020-10-15,already listed but no name match found — check suffix/spelling
Veer Global Infraconstruction Limited,2020-10-15,already listed but no name match found — check suffix/spelling
Atal Realtech Limited,2020-10-15,already listed but no name match found — check suffix/spelling
AAA Technologies Limited,2020-10-15,already listed but no name match found — check suffix/spelling
Trekkingtoes.com Limited,2020-08-15,already listed but no name match found — check suffix/spelling
Suratwwala Business Group Limited,2020-08-15,already listed but no name match found — check suffix/spelling
Ksolves India Limited,2020-07-06,already listed but no name match found — check suffix/spelling
Laxmi Goldorna House Limited,2020-04-16,already listed but no name match found — check suffix/spelling
RO Jewels Ltd,2020-03-15,already listed but no name match found — check suffix/spelling
Madhav Copper Limited - FPO,2020-02-15,already listed but no name match found — check suffix/spelling
Janus Corporation Ltd,2020-02-15,already listed but no name match found — check suffix/spelling
HindPrakash Industries Ltd,2020-01-15,already listed but no name match found — check suffix/spelling
Vaxtex Cotfab Limited,2020-01-13,already listed but no name match found — check suffix/spelling
DC Infotech and Communication Limited,2019-12-27,already listed but no name match found — check suffix/spelling
Mangalam Global Enterprise Limited,2019-11-27,already listed but no name match found — check suffix/spelling
Citius Transnet Investment Trust,2026-04-29,"REIT/InvIT/Trust — likely not in standard equity list, check NSE REIT/InvIT segment separately"
Property Share Investment Trust - PropShare Celestia,2026-04-24,"REIT/InvIT/Trust — likely not in standard equity list, check NSE REIT/InvIT segment separately"
Raajmarg Infra Investment Trust InvIT,2026-03-24,"REIT/InvIT/Trust — likely not in standard equity list, check NSE REIT/InvIT segment separately"
Anantam Highways InvIT Trust,2025-10-16,"REIT/InvIT/Trust — likely not in standard equity list, check NSE REIT/InvIT segment separately"
Jinkusal Industries Limited,2025-10-03,already listed but no name match found — check suffix/spelling
Knowledge Realty Trust REIT,2025-08-18,"REIT/InvIT/Trust — likely not in standard equity list, check NSE REIT/InvIT segment separately"
PropShare Titania SM REIT,2025-08-04,"REIT/InvIT/Trust — likely not in standard equity list, check NSE REIT/InvIT segment separately"
Capital Infra Trust InvIT,2025-01-17,"REIT/InvIT/Trust — likely not in standard equity list, check NSE REIT/InvIT segment separately"
Property Share Investment Trust SM REIT,2024-12-10,"REIT/InvIT/Trust — likely not in standard equity list, check NSE REIT/InvIT segment separately"
Bharat Highways InvIT,2024-03-12,"REIT/InvIT/Trust — likely not in standard equity list, check NSE REIT/InvIT segment separately"
Aeroplane Basmati Rice,2026-04-02,already listed but no name match found — check suffix/spelling
